,CNTY,SR,SEG,LENGTH,lnlength,total_crash,fatal,injury,pdo,WIDTH,LANES,SPEED,DIVISOR,L_S_PAVE,L_S_TOTL,R_S_PAVE,R_S_TOTL,Dir,U_R_CODE,SURFACE,DIST,ACC_CTRL,CO,CTL,lane_width,divwidth,divwidth_1p,divwidth_2l,divwidth_4l,divwidth_6l,divwidth_8l,divwidth_10l,divwidth_12l,barrier3,parking_lane,parking_lane_2,AADT,K,T
70,1,116,480,3778.0,-0.33473134,8.0,0.2,2.6,5.2,33.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,16.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,14900.0,11.0,3.0
71,1,116,490,3601.0,-0.38271451,8.4,0.0,3.2,5.2,33.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,52.0,8.0,3.0,1.0,0.0,16.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7284.8,,
72,1,194,40,3231.0,-0.49113440500000005,7.2,0.0,3.6,3.6,24.0,2.0,35.0,0.0,8.0,8.0,8.0,8.0,,2.0,52.0,8.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6991.2,10.0,5.0
73,1,194,50,2160.0,-0.893817902,7.4,0.0,3.4,4.0,40.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,52.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6991.2,10.0,5.0
74,1,194,60,1921.0,-1.011080265,7.8,0.0,3.0,4.8,36.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,61.0,8.0,3.0,1.0,0.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6991.2,10.0,5.0
75,1,194,70,3078.0,-0.539646089,4.8,0.0,2.0,2.8,36.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,52.0,8.0,3.0,1.0,0.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10285.0,11.0,4.0
76,1,194,80,959.0,-1.705790281,2.8,0.0,1.0,1.8,40.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,52.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10285.0,11.0,4.0
77,1,194,90,3455.0,-0.42410364700000003,4.2,0.0,1.8,2.4,24.0,2.0,35.0,0.0,7.0,7.0,7.0,7.0,,2.0,61.0,8.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10285.0,11.0,4.0
78,1,194,100,2413.0,-0.783055305,4.2,0.0,1.6,2.6,24.0,2.0,55.0,0.0,7.0,7.0,7.0,7.0,,2.0,61.0,8.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11105.6,11.0,3.0
79,1,194,250,825.0,-1.85629797,6.0,0.0,3.0,3.0,40.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,,2.0,52.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10453.4,12.0,5.0
80,1,194,260,3252.0,-0.484655917,2.2,0.0,0.8,1.4,22.0,2.0,40.0,0.0,3.0,3.0,3.0,3.0,,2.0,61.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6657.8,11.0,5.0
