"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2015126623,"05","1","100 DEER RUN RD","","PERKASIE","PA","18944","J&C EXPRESS","2679876675","035000","","","","","N","","","","","","N","","2","02635872","08"
2015058611,"99","1","3130 BRIGHTON 7TH STREE","","BROOKLYN","NY","11235","VITALY VOLIS","3477335377","080000","","","","","N","","","","","","U","","2","01637762","08"
2015097609,"05","3","211 WALNUT ST","","LEBANON","OA","45036","EXPRESS DELIVERY LEASING LLC","5139344078","080000","","","","","N","","","","","000322364","N","","2","02358190","08"
2015016349,"03","3","216 10TH STREET","","WEST BABYLON","NY","11704","ENTERPRISE FREIGHT LLC","6319884247","080000","","","","","N","","","","","","N","","1","01434288","08"
2015043461,"05","1","900 SQUARE ST","PO BOX 476","MOUNT JOY","PA","17552","AG LOGISTICS GROUP","7179170260","056000","","","","","N","","","","","","N","","2","01788682","08"
2015043461,"03","0","4901 COTTMAN AVE","","PHILADELPHIA","PA","19135","METAL STOCK INC","2153352003","016000","","","","","N","","","","","","N","","3","00860339","04"
2015122254,"99","8","3131 COLD SPRINGS RD","","HUNTINGDON","PA","16652","ROBERT HESS","8145998721","","","","","","N","","","","","","N","","2","99999999","11"
2015075974,"05","0","6500 W INDUSTRIAL HWY","","GARY","IN","46406","SWIFT TRANSPORTATION OF ARIZONA","8008002200","080000","","","","","N","","","","","","N","","1","00054283","08"
2015039762,"02","1","51 BOULDEN BLVD","","NEW CASTLE","DE","19720","PENSKE RENTAL","3023259290","025000","","","","","N","","","","","","N","","2","00327574","03"
2015034752,"05","3","PO BOX 453","","ROOTSTOWN","OH","44272","EDWARDS TRANSFER","3307495126","046000","","","","","N","","","","","","N","","2","01244195","08"
2015063602,"02","1","4000 CLINE AVE","","EAST CHICAGO","IN","46312","PENSKE TRUCKING","8889965416","026000","","","","","N","","","","","","N","","2","00242294","03"
2015117764,"05","3","7306 S. LAKE HOUSTON PA","","HOUSTON","TX","77049","XXCELL FREIGHT SYSTEMS, INC","8889923554","080000","","","","","N","","","","","","Y","","1","01384408","08"
2015117764,"05","3","7306 S. LAKE HOUSTON PA","","HOUSTON","TX","77049","XXCELL FREIGHT SYSTEMS, INC","8889923554","080000","","","","","N","","","","","","Y","","2","01384408","08"
2015052485,"03","0","1901 S. 2ND AVE","PO BOX 389","SHELDON","IA","51201","VAN WYK INC.","7123244687","080000","","","","","N","","","","","","N","","3","00069971","07"
2015072828,"05","1","5411 RALEY BLVD","","SACRAMENTO","CA","95838","DC TRANSPORT INC","9164380888","080000","","","","","N","","","","","000427093","N","","2","01018527","08"
2015123486,"04","9","4925 C.W. LEACH ROAD","","ALLISTON","ON","L9R2B1","TRAILWOOD TRANSPORT LTD","5194557115","080000","","","","","N","","","","","","N","","1","00288405","08"
2015119517,"05","1","15 WEST LINWOOD AVE.","","MAPLE SHADE","NJ","08053","L.A ROBINSON TRUCKING COMPANY","8562294728","080000","","","","","N","","","","","","N","","1","01420271","06"
2015119517,"05","1","279 S. CHURCH ST","","HAZLETON","PA","18201","SAM MANAGEMENT CORP","6092713907","080000","","","","","N","","","","","","N","","2","02598128","06"
2015016790,"05","1","2120 RAND RD","","PALATINE","IL","60074","MID STATES TRUCK LEASING CO INC","8479349299","080000","","","","","N","","","","","","N","","1","00241196","08"
2015013412,"05","3","2213 BARNES DR","","LEBANON","TN","37087","GE TF TRUST","9316024909","080000","","","","","N","","","","","","N","","1","00036802","08"
2015018379,"03","9","159 TCI PARK  DRIVE","","GROVE CITY","PA","16127","TRI COUNTY INDUSTRIES","7247484750","073280","","","","","","","","","","","N","","1","00208600","05"
2015101229,"02","1","17TH & ARSENAL","","HARRISBURG","PA","17120","PENNDOT","9999999999","073280","","","","","N","","","","","","N","","2","","98"
2015127905,"99","8","714 RUTHERFORD ROAD","","HARRISBURG","PA","17109","DURHAM SCHOOL SERVICES LP","7175410680","999999","","","","","N","","","","","","N","","3","","11"
2015086446,"05","1","6525 SHILOH RD., SUITE","","ALPHARETTA","GA","30005","LAZER SPOT","6787712603","080000","","","","","N","","","","","","N","","2","00850629","06"
2015086014,"04","4","1202 W 16TH ST","","ERIE","PA","16502","JAMES FIESLER TRUCKING","8144546609","073280","","","","","N","","","","","","N","A-00109674","1","02114079","04"
2015108422,"04","4","2288 STOYSTOWN RD","","FRIEDENS","PA","15541","STANCZYK TRANSPORT","8147015710","","","","","","N","","","","","","N","","1","02790128","04"
2015025394,"05","1","29622 BARKLEY ST","","LIVONIA","MI","48154","CULE","7345136793","080000","","","","","N","","","","","","N","","2","02173246","08"
2015025394,"05","1","7135 CENTENNIAL PL","","NASHVILLE","TN","37209","WESTERN EXPRESS INC","6158465824","080000","","","","","N","","","","","","N","","1","00511412","08"
2015016547,"03","2","190 BEN TITUS RD","","TAMAQUA","PA","18252","TIM P POSTUPACK","5706681058","031000","3","","","","Y","1","","","","","N","","2","02107055","04"
2015113423,"04","4","9152 ROUTE 22","","BLAIRSVILLE","PA","15717","WELL SERVICE GROUP INC","7247547978","073280","","","","","N","","","","","","N","","1","02307947","04"
